2025-02-22T21:25:34.526+08:00  INFO 75715 --- [Library_Management_System] [main] o.m.l.LibraryManagementSystemApplication : Starting LibraryManagementSystemApplication using Java 17.0.11 with PID 75715 (/Users/zhaoqianqian/IDEAUl/Project/Library_Management_System/target/classes started by zhaoqianqian in /Users/zhaoqianqian/IDEAUl/Project/Library_Management_System)
2025-02-22T21:25:34.528+08:00  INFO 75715 --- [Library_Management_System] [main] o.m.l.LibraryManagementSystemApplication : No active profile set, falling back to 1 default profile: "default"
2025-02-22T21:25:34.870+08:00  INFO 75715 --- [Library_Management_System] [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port 8080 (http)
2025-02-22T21:25:34.875+08:00  INFO 75715 --- [Library_Management_System] [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2025-02-22T21:25:34.875+08:00  INFO 75715 --- [Library_Management_System] [main] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/10.1.34]
2025-02-22T21:25:34.891+08:00  INFO 75715 --- [Library_Management_System] [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2025-02-22T21:25:34.891+08:00  INFO 75715 --- [Library_Management_System] [main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 348 ms
2025-02-22T21:25:35.107+08:00  INFO 75715 --- [Library_Management_System] [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port 8080 (http) with context path '/'
2025-02-22T21:25:35.111+08:00  INFO 75715 --- [Library_Management_System] [main] o.m.l.LibraryManagementSystemApplication : Started LibraryManagementSystemApplication in 0.819 seconds (process running for 1.058)
2025-02-22T21:26:10.022+08:00  INFO 75715 --- [Library_Management_System] [http-nio-8080-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-02-22T21:26:10.022+08:00  INFO 75715 --- [Library_Management_System] [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2025-02-22T21:26:10.023+08:00  INFO 75715 --- [Library_Management_System] [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 1 ms
